t	I
43.22118	0.02093
43.297475	0.024882
43.37377	0.028751
43.450065	0.032563
43.52636	0.036162
43.602655	0.039196
43.67895	0.041584
43.755245	0.043499
43.83154	0.045224
43.907836	0.046969
43.984131	0.048587
44.060426	0.049885
44.136721	0.050985
44.213016	0.052009
44.289311	0.052901
44.365606	0.053638
44.441901	0.054232
44.518196	0.054731
44.594491	0.055271
44.670787	0.055832
44.747082	0.056091
44.823377	0.055709
44.899672	0.054668
44.975967	0.053053
45.052262	0.050532
45.128557	0.04652
45.204852	0.040671
45.281147	0.032961
45.357443	0.024035
45.433738	0.015122
45.510033	0.007272
45.586328	0.001903
45.662623	0.001272
45.738918	0.008139
45.815213	0.026169
45.891508	0.059356
45.967803	0.111969
46.044099	0.189466
46.120394	0.296886
46.196689	0.4402
46.272984	0.626987
46.349279	0.861145
46.425574	1.144981
46.501869	1.480306
46.578164	1.863084
46.654459	2.28784
46.730755	2.742561
46.80705	3.202745
46.883345	3.642421
46.95964	4.028573
47.035935	4.323146
47.11223	4.494306
47.188525	4.511117
47.26482	4.361063
47.341115	4.055297
47.417411	3.620125
47.493706	3.104853
47.570001	2.561805
47.646296	2.034139
47.722591	1.557711
47.798886	1.148998
47.875181	0.813015
47.951476	0.550126
48.027771	0.351686
48.104067	0.208296
48.180362	0.111346
48.256657	0.05047
48.332952	0.017825
48.409247	0.006885
48.485542	0.011977
48.561837	0.029661
48.638132	0.056594
48.714427	0.090973
48.790723	0.132383
48.867018	0.179257
48.943313	0.231426
49.019608	0.289043
49.095903	0.350895
49.172198	0.418626
49.248493	0.493909
49.324788	0.577362
49.401083	0.675893
49.477379	0.800363
49.553674	0.96631
49.629969	1.20003
49.706264	1.531011
49.782559	1.99082
49.858854	2.607956
49.935149	3.381696
50.011444	4.267357
50.087739	5.156253
50.164034	5.869212
50.24033	6.219255
50.316625	6.089013
50.39292	5.494247
50.469215	4.590765
50.54551	3.581199
50.621805	2.632361
50.6981	1.842412
50.774395	1.236783
50.85069	0.800481
50.926986	0.503262
51.003281	0.309509
51.079576	0.188992
51.155871	0.117966
51.232166	0.078034
51.308461	0.056964
51.384756	0.046423
51.461051	0.041032
51.537346	0.037829
51.613642	0.035049
51.689937	0.032065
51.766232	0.029073
51.842527	0.026378
51.918822	0.02408
51.995117	0.022116
52.071412	0.020467
52.147707	0.019122
52.224002	0.018163
52.300298	0.017777
52.376593	0.017723
52.452888	0.017495
52.529183	0.017086
52.605478	0.016508
52.681773	0.015575
52.758068	0.014642
52.834363	0.013857
52.910658	0.012815
52.986954	0.011798
53.063249	0.011302
53.139544	0.011141
